wavelength,absorbance
7591.00648,0.04199
7583.29205,0.04203
7575.57761,0.04209
7567.86317,0.04219
7560.14874,0.04231
7552.4343,0.04244
7544.71986,0.0426
7537.00542,0.04281
7529.29099,0.04308
7521.57655,0.04336
7513.86211,0.04365
7506.14767,0.04401
7498.43324,0.04443
7490.7188,0.0449
7483.00436,0.0454
7475.28992,0.04592
7467.57549,0.04647
7459.86105,0.04709
7452.14661,0.04779
7444.43217,0.04852
7436.71774,0.04929
7429.0033,0.05014
7421.28886,0.05103
7413.57442,0.05195
7405.85999,0.0529
7398.14555,0.05391
7390.43111,0.05488
7382.71667,0.0558
7375.00224,0.0568
7367.2878,0.05788
7359.57336,0.05884
7351.85892,0.05961
7344.14449,0.06043
7336.43005,0.06138
7328.71561,0.0623
7321.00117,0.06311
7313.28674,0.06384
7305.5723,0.06455
7297.85786,0.06525
7290.14342,0.06591
7282.42899,0.06653
7274.71455,0.06706
7267.00011,0.06751
7259.28567,0.06791
7251.57124,0.06824
7243.8568,0.06854
7236.14236,0.06901
7228.42792,0.06978
7220.71349,0.07073
7212.99905,0.07164
7205.28461,0.07264
7197.57017,0.07376
7189.85574,0.07475
7182.1413,0.07558
7174.42686,0.07641
7166.71242,0.07739
7158.99799,0.0786
7151.28355,0.07974
7143.56911,0.08076
7135.85467,0.08211
7128.14024,0.0836
7120.4258,0.08503
7112.71136,0.0866
7104.99692,0.0884
7097.28249,0.09043
7089.56805,0.09273
7081.85361,0.09518
7074.13917,0.09776
7066.42474,0.10065
7058.7103,0.10374
7050.99586,0.10693
7043.28142,0.11027
7035.56699,0.11376
7027.85255,0.11727
7020.13811,0.12081
7012.42367,0.12432
7004.70924,0.12774
6996.9948,0.13108
6989.28036,0.13431
6981.56592,0.1374
6973.85149,0.1403
6966.13705,0.14296
6958.42261,0.14532
6950.70817,0.14744
6942.99374,0.1494
6935.2793,0.15119
6927.56486,0.15279
6919.85042,0.15419
6912.13599,0.15549
6904.42155,0.15665
6896.70711,0.15764
6888.99267,0.15852
6881.27824,0.15931
6873.5638,0.16003
6865.84936,0.16067
6858.13492,0.16121
6850.42049,0.16165
6842.70605,0.16205
6834.99161,0.16239
6827.27717,0.16267
6819.56274,0.16291
6811.8483,0.16312
6804.13386,0.16327
6796.41942,0.16336
6788.70499,0.16343
6780.99055,0.16349
6773.27611,0.16355
6765.56167,0.1636
6757.84724,0.16364
6750.1328,0.16369
6742.41836,0.16375
6734.70392,0.16382
6726.98949,0.16388
6719.27505,0.16392
6711.56061,0.16393
6703.84617,0.16391
6696.13174,0.16386
6688.4173,0.16379
6680.70286,0.16366
6672.98842,0.1635
6665.27399,0.1633
6657.55955,0.16308
6649.84511,0.16283
6642.13067,0.16261
6634.41624,0.16242
6626.7018,0.16223
6618.98736,0.16199
6611.27292,0.16171
6603.55849,0.16138
6595.84405,0.16103
6588.12961,0.16071
6580.41517,0.16041
6572.70074,0.16007
6564.9863,0.1597
6557.27186,0.15939
6549.55742,0.15915
6541.84299,0.15895
6534.12855,0.1588
6526.41411,0.15871
6518.69967,0.15863
6510.98524,0.15854
6503.2708,0.15846
6495.55636,0.15844
6487.84192,0.1585
6480.12749,0.15859
6472.41305,0.15867
6464.69861,0.15875
6456.98417,0.15887
6449.26974,0.15904
6441.5553,0.15925
6433.84086,0.15946
6426.12642,0.15966
6418.41199,0.15986
6410.69755,0.16009
6402.98311,0.16035
6395.26867,0.16061
6387.55424,0.16087
6379.8398,0.16112
6372.12536,0.16134
6364.41092,0.16151
